date,DMI
2012-01-01,0.046
2012-02-01,-0.078
2012-03-01,0.026
2012-04-01,-0.271
2012-05-01,-0.37
2012-06-01,0.001
2012-07-01,0.546
2012-08-01,0.652
2012-09-01,0.453
2012-10-01,0.11
2012-11-01,-0.1
2012-12-01,0.268
2013-01-01,-0.065
2013-02-01,0.189
2013-03-01,0.083
2013-04-01,-0.297
2013-05-01,-0.506
2013-06-01,-0.497
2013-07-01,-0.18
2013-08-01,-0.194
2013-09-01,-0.31
2013-10-01,-0.168
2013-11-01,0.199
2013-12-01,0.141
2014-01-01,-0.101
2014-02-01,-0.089
2014-03-01,-0.151
2014-04-01,-0.058
2014-05-01,-0.092
2014-06-01,-0.028
2014-07-01,-0.363
2014-08-01,-0.372
2014-09-01,-0.145
2014-10-01,0.141
2014-11-01,0.01
2014-12-01,0.046
2015-01-01,-0.1
2015-02-01,-0.345
2015-03-01,-0.241
2015-04-01,-0.008
2015-05-01,0.24
2015-06-01,0.296
2015-07-01,0.225
2015-08-01,0.567
2015-09-01,0.294
2015-10-01,0.483
2015-11-01,0.347
2015-12-01,0.272
2016-01-01,0.266
2016-02-01,-0.11
2016-03-01,-0.009
2016-04-01,0.146
2016-05-01,-0.113
2016-06-01,-0.443
2016-07-01,-0.758
2016-08-01,-0.444
2016-09-01,-0.437
2016-10-01,-0.372
2016-11-01,-0.382
2016-12-01,-0.31
2017-01-01,-0.086
2017-02-01,0.101
2017-03-01,0.357
2017-04-01,0.499
2017-05-01,0.536
2017-06-01,0.424
2017-07-01,0.52
2017-08-01,0.349
2017-09-01,0.034
2017-10-01,0.016
2017-11-01,0.289
2017-12-01,0.109
2018-01-01,-0.2
2018-02-01,0.215
2018-03-01,-0.12
2018-04-01,-0.083
2018-05-01,0.122
2018-06-01,0.155
2018-07-01,0.053
2018-08-01,0.122
2018-09-01,0.604
2018-10-01,0.685
2018-11-01,0.5
2018-12-01,0.309
2019-01-01,0.387
2019-02-01,0.416
2019-03-01,0.224
2019-04-01,0.258
2019-05-01,0.539
2019-06-01,0.605
2019-07-01,0.597
2019-08-01,0.436
2019-09-01,0.893
2019-10-01,0.964
2019-11-01,0.835
2019-12-01,0.243
2020-01-01,0.173
2020-02-01,0.054
2020-03-01,0.019
2020-04-01,-0.011
2020-05-01,0.298
2020-06-01,0.454
2020-07-01,0.32
2020-08-01,-0.183
2020-09-01,-0.19
2020-10-01,0.074
2020-11-01,0.02
2020-12-01,0.03
2021-01-01,0.051
2021-02-01,0.243
2021-03-01,0.266
2021-04-01,0.25
2021-05-01,0.009
2021-06-01,-0.002
2021-07-01,-0.228
2021-08-01,-0.099
2021-09-01,-0.058
2021-10-01,-0.091
2021-11-01,0.069
2021-12-01,-0.12
2022-01-01,-0.056
2022-02-01,-0.083
2022-03-01,-0.093
2022-04-01,-0.068
2022-05-01,-0.122
2022-06-01,-0.335
2022-07-01,-0.195
2022-08-01,-0.246
2022-09-01,-0.322
2022-10-01,-0.691
2022-11-01,-0.269
2022-12-01,-0.092
2023-01-01,0.109
2023-02-01,0.157
2023-03-01,0.415
2023-04-01,0.56
2023-05-01,0.443
2023-06-01,0.665
2023-07-01,0.498
2023-08-01,0.825
2023-09-01,0.946
2023-10-01,0.804
2023-11-01,0.92
2023-12-01,0.851
